domain_type,dataset,variable,LABEL,TYPE,LENGTH
SDTM,DM,actarm,,2,20
SDTM,DM,actarmcd,,2,8
SDTM,DM,age,,1,8
SDTM,DM,ageu,,2,5
SDTM,DM,arm,,2,20
SDTM,DM,armcd,,2,8
SDTM,DM,country,,2,3
SDTM,DM,dmdtc,,1,8
SDTM,DM,dmdy,,2,3
SDTM,DM,domain,,2,2
SDTM,DM,dthdtc,,1,8
SDTM,DM,dthfl,,2,1
SDTM,DM,ethnic,,2,22
SDTM,DM,race,,2,32
SDTM,DM,rfendtc,,1,8
SDTM,DM,rficdtc,,2,1
SDTM,DM,rfpendtc,,1,8
SDTM,DM,rfstdtc,,1,8
SDTM,DM,rfxendtc,,1,8
SDTM,DM,rfxstdtc,,1,8
SDTM,DM,sex,,2,1
SDTM,DM,siteid,,1,8
SDTM,DM,studyid,,2,12
SDTM,DM,subjid,,1,8
SDTM,DM,usubjid,,2,11
SDTM,AE,aeacn,,2,1
SDTM,AE,aebdsycd,,2,2
SDTM,AE,aebodsys,,2,69
SDTM,AE,aedecod,,2,46
SDTM,AE,aedtc,,1,8
SDTM,AE,aeendtc,,1,8
SDTM,AE,aeendy,,2,3
SDTM,AE,aehlgt,,2,9
SDTM,AE,aehlgtcd,,2,2
SDTM,AE,aehlt,,2,8
SDTM,AE,aehltcd,,2,2
SDTM,AE,aellt,,2,46
SDTM,AE,aelltcd,,2,2
SDTM,AE,aeout,,2,26
SDTM,AE,aeptcd,,2,2
SDTM,AE,aerel,,2,8
SDTM,AE,aescan,,2,1
SDTM,AE,aescong,,2,1
SDTM,AE,aesdisab,,2,1
SDTM,AE,aesdth,,2,1
SDTM,AE,aeseq,,1,8
SDTM,AE,aeser,,2,1
SDTM,AE,aesev,,2,8
SDTM,AE,aeshosp,,2,1
SDTM,AE,aeslife,,2,1
SDTM,AE,aesoc,,2,69
SDTM,AE,aesoccd,,2,2
SDTM,AE,aesod,,2,1
SDTM,AE,aespid,,2,3
SDTM,AE,aestdtc,,2,10
SDTM,AE,aestdy,,2,4
SDTM,AE,aeterm,,2,46
SDTM,AE,domain,,2,2
SDTM,AE,studyid,,2,12
SDTM,AE,usubjid,,2,11
SDTM,LBCH,domain,,2,2
SDTM,LBCH,epoch,,2,9
SDTM,LBCH,lbblfl,,2,1
SDTM,LBCH,lbcat,,2,9
SDTM,LBCH,lbdtc,,1,8
SDTM,LBCH,lbdy,,1,8
SDTM,LBCH,lbnrind,,2,6
SDTM,LBCH,lbornrhi,,1,8
SDTM,LBCH,lbornrlo,,1,8
SDTM,LBCH,lborres,,2,4
SDTM,LBCH,lborresu,,2,5
SDTM,LBCH,lbseq,,1,8
SDTM,LBCH,lbstnrhi,,1,8
SDTM,LBCH,lbstnrlo,,1,8
SDTM,LBCH,lbstresc,,2,8
SDTM,LBCH,lbstresn,,2,8
SDTM,LBCH,lbstresu,,2,6
SDTM,LBCH,lbtest,,2,26
SDTM,LBCH,lbtestcd,,2,6
SDTM,LBCH,studyid,,2,12
SDTM,LBCH,usubjid,,2,11
SDTM,LBCH,visit,,2,17
SDTM,LBCH,visitdy,,2,3
SDTM,LBCH,visitnum,,1,8
ADAM,ADSL,age,,1,8
ADAM,ADSL,agegr1,,2,5
ADAM,ADSL,agegr1n,,1,8
ADAM,ADSL,ageu,,2,5
ADAM,ADSL,arm,,2,20
ADAM,ADSL,avgdd,,1,8
ADAM,ADSL,bmibl,,2,4
